run_name,n,depth,best_error,expr,nodes,dps,runtime_seconds
node_sweep_d4_nodes30_beam5000,7,1,2.477057139405048e-07,(sqrt((18/29)) * sqrt((481/768))),5,80,99.965
node_sweep_d4_nodes30_beam5000,7,2,3.3488137152204445e-08,(sqrt((sqrt((217/351)) * sqrt((256/407)))) * sqrt((sqrt((32/51)) * sqrt((96/155))))),13,80,99.965
node_sweep_d4_nodes30_beam5000,7,3,2.661395548386736e-10,(sqrt((sqrt((sqrt((121/195)) * sqrt((203/324)))) * sqrt((sqrt((13/21)) * sqrt((27/43)))))) * sqrt((sqrt((sqrt((21/34)) * sqrt((90/143)))) * sqrt((sqrt((32/51)) * sqrt((57/92))))))),29,80,99.965
node_sweep_d4_nodes30_beam5000,7,4,2.661395548386736e-10,(sqrt((sqrt((sqrt((121/195)) * sqrt((203/324)))) * sqrt((sqrt((13/21)) * sqrt((27/43)))))) * sqrt((sqrt((sqrt((21/34)) * sqrt((90/143)))) * sqrt((sqrt((32/51)) * sqrt((57/92))))))),29,80,99.965
node_sweep_d4_nodes30_beam5000,11,0,1.6308438660073143e-05,(53/63),1,80,110.487
node_sweep_d4_nodes30_beam5000,11,1,7.1841600004507455e-06,(sqrt((243/290)) * sqrt((288/341))),5,80,110.487
node_sweep_d4_nodes30_beam5000,11,2,1.868219356992995e-08,(sqrt((sqrt((203/240)) * sqrt((405/484)))) * sqrt((sqrt((36/43)) * sqrt((71/84))))),13,80,110.487
node_sweep_d4_nodes30_beam5000,11,3,5.336825426027758e-10,(sqrt((sqrt((sqrt((11/13)) * sqrt((240/287)))) * sqrt((sqrt((31/37)) * sqrt((49/58)))))) * sqrt((sqrt((sqrt((312/371)) * sqrt((377/448)))) * sqrt((sqrt((38/45)) * sqrt((88/105))))))),29,80,110.487
node_sweep_d4_nodes30_beam5000,11,4,5.336825426027758e-10,(sqrt((sqrt((sqrt((11/13)) * sqrt((240/287)))) * sqrt((sqrt((31/37)) * sqrt((49/58)))))) * sqrt((sqrt((sqrt((312/371)) * sqrt((377/448)))) * sqrt((sqrt((38/45)) * sqrt((88/105))))))),29,80,110.487
node_sweep_d4_nodes30_beam5000,13,0,3.935898654328085e-05,(85/96),1,80,70.754
node_sweep_d4_nodes30_beam5000,13,1,1.8833553026009753e-06,(sqrt((117/133)) * sqrt((336/377))),5,80,70.754
node_sweep_d4_nodes30_beam5000,13,2,3.245207569335662e-08,(sqrt((sqrt((231/260)) * sqrt((847/960)))) * sqrt((sqrt((352/399)) * sqrt((8/9))))),13,80,70.754
node_sweep_d4_nodes30_beam5000,13,3,2.3389246095462113e-10,(sqrt((sqrt((sqrt((130/147)) * sqrt((180/203)))) * sqrt((sqrt((23/26)) * sqrt((288/325)))))) * sqrt((sqrt((sqrt((217/243)) * sqrt((36/41)))) * sqrt((sqrt((336/377)) * sqrt((95/108))))))),29,80,70.754
node_sweep_d4_nodes30_beam5000,13,4,2.3389246095462113e-10,(sqrt((sqrt((sqrt((130/147)) * sqrt((180/203)))) * sqrt((sqrt((23/26)) * sqrt((288/325)))))) * sqrt((sqrt((sqrt((217/243)) * sqrt((36/41)))) * sqrt((sqrt((336/377)) * sqrt((95/108))))))),29,80,70.754
node_sweep_d4_nodes35_beam5000,7,0,0.00011317848211012116,(48/77),1,80,194.27
node_sweep_d4_nodes35_beam5000,7,1,2.477057139405048e-07,(sqrt((18/29)) * sqrt((481/768))),5,80,194.27
node_sweep_d4_nodes35_beam5000,7,2,3.3488137152204445e-08,(sqrt((sqrt((217/351)) * sqrt((256/407)))) * sqrt((sqrt((32/51)) * sqrt((96/155))))),13,80,194.27
node_sweep_d4_nodes35_beam5000,7,3,2.661395548386736e-10,(sqrt((sqrt((sqrt((121/195)) * sqrt((203/324)))) * sqrt((sqrt((13/21)) * sqrt((27/43)))))) * sqrt((sqrt((sqrt((21/34)) * sqrt((90/143)))) * sqrt((sqrt((32/51)) * sqrt((57/92))))))),29,80,194.27
node_sweep_d4_nodes35_beam5000,7,4,2.661395548386736e-10,(sqrt((sqrt((sqrt((121/195)) * sqrt((203/324)))) * sqrt((sqrt((13/21)) * sqrt((27/43)))))) * sqrt((sqrt((sqrt((21/34)) * sqrt((90/143)))) * sqrt((sqrt((32/51)) * sqrt((57/92))))))),29,80,194.27
node_sweep_d4_nodes35_beam5000,11,0,1.6308438660073143e-05,(53/63),1,80,129.247
node_sweep_d4_nodes35_beam5000,11,1,7.1841600004507455e-06,(sqrt((243/290)) * sqrt((288/341))),5,80,129.247
node_sweep_d4_nodes35_beam5000,11,2,1.868219356992995e-08,(sqrt((sqrt((203/240)) * sqrt((405/484)))) * sqrt((sqrt((36/43)) * sqrt((71/84))))),13,80,129.247
node_sweep_d4_nodes35_beam5000,11,3,5.336825426027758e-10,(sqrt((sqrt((sqrt((11/13)) * sqrt((240/287)))) * sqrt((sqrt((31/37)) * sqrt((49/58)))))) * sqrt((sqrt((sqrt((312/371)) * sqrt((377/448)))) * sqrt((sqrt((38/45)) * sqrt((88/105))))))),29,80,129.247
node_sweep_d4_nodes35_beam5000,11,4,5.336825426027758e-10,(sqrt((sqrt((sqrt((11/13)) * sqrt((240/287)))) * sqrt((sqrt((31/37)) * sqrt((49/58)))))) * sqrt((sqrt((sqrt((312/371)) * sqrt((377/448)))) * sqrt((sqrt((38/45)) * sqrt((88/105))))))),29,80,129.247
node_sweep_d4_nodes35_beam5000,13,0,3.935898654328085e-05,(85/96),1,80,126.414
node_sweep_d4_nodes35_beam5000,13,1,1.8833553026009753e-06,(sqrt((117/133)) * sqrt((336/377))),5,80,126.414
node_sweep_d4_nodes35_beam5000,13,2,3.245207569335662e-08,(sqrt((sqrt((231/260)) * sqrt((847/960)))) * sqrt((sqrt((352/399)) * sqrt((8/9))))),13,80,126.414
node_sweep_d4_nodes35_beam5000,13,3,2.3389246095462113e-10,(sqrt((sqrt((sqrt((130/147)) * sqrt((180/203)))) * sqrt((sqrt((23/26)) * sqrt((288/325)))))) * sqrt((sqrt((sqrt((217/243)) * sqrt((36/41)))) * sqrt((sqrt((336/377)) * sqrt((95/108))))))),29,80,126.414
node_sweep_d4_nodes35_beam5000,13,4,2.3389246095462113e-10,(sqrt((sqrt((sqrt((130/147)) * sqrt((180/203)))) * sqrt((sqrt((23/26)) * sqrt((288/325)))))) * sqrt((sqrt((sqrt((217/243)) * sqrt((36/41)))) * sqrt((sqrt((336/377)) * sqrt((95/108))))))),29,80,126.414
